,variance,mean,min,max
1007_s_at,0.9271842803030302,7.760303030303032,6.27,9.39
1053_at,1.162736363636364,6.423636363636363,4.51,7.76
117_at,0.8170183712121213,5.546060606060606,3.84,6.47
121_at,0.12501325757575757,8.604848484848484,8.03,9.16
1255_g_at,0.5895017045454548,3.247272727272727,1.91,4.12
1294_at,0.39616893939393955,5.815757575757576,4.68,6.46
1316_at,0.9105880681818178,5.184545454545454,3.45,6.35
1320_at,0.5996142045454544,4.737272727272727,3.27,5.47
1405_i_at,0.2912642045454546,3.2572727272727278,2.15,4.12
1431_at,0.5794058712121212,3.8606060606060626,2.5,4.97
1438_at,0.5757751893939395,5.304242424242425,3.87,6.06
1487_at,0.6545996212121209,7.383939393939396,6.3,8.55
1494_f_at,0.45187045454545455,5.302727272727272,4.12,6.15
1552256_a_at,0.6786939393939398,5.625757575757578,3.83,6.65
1552257_a_at,0.3854257575757576,7.821515151515152,6.8,8.67
1552258_at,1.2427632575757575,4.808484848484847,2.58,5.82
1552261_at,0.37800852272727276,4.409090909090909,3.26,5.46
1552263_at,0.5820967803030302,3.616969696969697,3.01,6.23
1552264_a_at,1.0319666666666667,7.376666666666668,5.61,8.55
1552266_at,0.06202348484848486,3.702121212121213,3.13,4.21
1552269_at,0.5935780303030304,3.6096969696969694,2.13,4.72
1552271_at,0.47967348484848515,5.528787878787878,4.08,6.29
1552272_a_at,0.7514626893939395,5.417575757575758,3.71,6.31
1552274_at,1.5457801136363636,4.0663636363636355,2.11,5.76
1552275_s_at,1.2639051136363637,4.963636363636363,2.94,6.1
1552276_a_at,0.5294984848484847,5.368787878787878,3.98,6.63
1552277_a_at,0.7528757575757575,8.021515151515151,6.15,9.15
1552278_a_at,0.18175056818181823,5.274545454545454,4.38,5.93
1552279_a_at,0.34671268939393923,6.337575757575758,5.19,7.27
1552280_at,0.3804257575757577,3.371515151515151,2.12,3.99
1552281_at,0.42832916666666665,6.756666666666665,5.63,7.52
1552283_s_at,0.5861683712121211,3.73939393939394,2.34,4.79
1552286_at,0.1515568181818182,4.304545454545455,3.52,5.19
1552287_s_at,0.32898352272727277,3.3809090909090913,2.23,4.01
1552288_at,0.7251467803030303,4.3603030303030295,2.9,6.19
1552289_a_at,0.7589960227272727,4.62090909090909,2.85,5.44
1552291_at,0.3551126893939393,2.807575757575757,1.59,3.83
1552293_at,0.3826064393939394,5.144242424242424,3.82,6.19
1552295_a_at,0.6818996212121212,6.15939393939394,4.47,7.02
1552296_at,0.5630840909090907,4.388181818181819,3.05,5.68
1552299_at,0.9868704545454547,4.382727272727275,2.6,6.26
1552301_a_at,0.4599382575757576,5.044848484848485,3.58,6.26
1552302_at,0.5247967803030305,3.343030303030303,1.98,4.03
1552303_a_at,0.7425854166666668,4.096666666666667,2.46,5.03
1552304_at,1.616919318181818,4.1445454545454545,2.1,5.94
1552306_at,0.7651717803030301,3.9169696969696965,2.25,5.17
1552307_a_at,0.7998329545454544,6.297272727272727,5.02,7.61
1552309_a_at,0.5355717803030303,3.0596969696969705,1.79,3.99
1552310_at,1.7638585227272723,7.130909090909091,4.41,8.56
1552311_a_at,0.7813147727272727,7.039090909090908,4.93,8.18
1552312_a_at,0.6206092803030302,3.6130303030303024,2.18,4.63
1552314_a_at,1.017767234848485,4.87878787878788,2.49,5.99
1552315_at,0.4968683712121213,4.4360606060606065,3.25,5.56
1552316_a_at,0.5630439393939394,3.2175757575757578,1.92,4.45
1552318_at,0.5633916666666665,3.196666666666668,1.81,3.91
1552319_a_at,0.7338854166666666,4.906666666666665,3.36,6.1
1552320_a_at,0.4088897727272728,3.1409090909090915,1.94,3.9
1552321_a_at,0.6248308712121216,3.539393939393939,2.07,4.36
